date,duration
2020/08/03 11:00,30
2020/08/03 12:22,22
2020/08/03 13:47,23
2020/08/03 15:44,30
2020/08/03 17:00,23
2020/08/05 11:13,30
2020/08/05 11:50,25
2020/08/05 15:11,30
2020/08/05 16:38,30
